iter	Passed	Remaining
401	3838	5710
402	3848	5700
403	3858	5692
404	3867	5682
405	3878	5673
406	3887	5663
407	3896	5654
408	3906	5644
409	3915	5634
410	3925	5625
411	3935	5616
412	3944	5606
413	3954	5596
414	3964	5587
415	3974	5580
416	3984	5570
417	3994	5561
418	4004	5552
419	4014	5543
420	4023	5533
421	4032	5523
422	4043	5515
423	4052	5505
424	4063	5497
425	4072	5487
426	4083	5479
427	4092	5469
428	4102	5460
429	4112	5451
430	4122	5442
431	4132	5433
432	4142	5424
433	4153	5416
434	4162	5406
435	4172	5397
436	4182	5388
437	4192	5379
438	4202	5370
439	4212	5361
440	4222	5352
441	4232	5342
442	4241	5333
443	4251	5323
444	4261	5314
445	4270	5304
446	4279	5294
447	4289	5285
448	4298	5274
449	4308	5266
450	4318	5256
451	4328	5247
452	4337	5238
453	4347	5228
454	4357	5218
455	4366	5209
456	4376	5199
457	4386	5190
458	4395	5180
459	4406	5172
460	4415	5162
461	4426	5154
462	4435	5144
463	4446	5135
464	4455	5126
465	4465	5117
466	4475	5107
467	4484	5097
468	4494	5088
469	4503	5078
470	4513	5069
471	4523	5060
472	4532	5050
473	4542	5041
474	4552	5031
475	4562	5022
476	4571	5012
477	4581	5003
478	4591	4994
479	4601	4985
480	4611	4976
481	4621	4966
482	4632	4958
483	4641	4948
484	4652	4940
485	4662	4931
486	4672	4922
487	4682	4912
488	4691	4902
489	4701	4893
490	4710	4883
491	4720	4874
492	4730	4864
493	4740	4856
494	4750	4846
495	4760	4837
496	4770	4827
497	4779	4818
498	4790	4809
499	4799	4799
500	4809	4790
501	4819	4781
502	4830	4772
503	4839	4762
504	4850	4754
505	4860	4745
506	4870	4736
507	4880	4726
508	4891	4718
509	4901	4708
510	4912	4700
511	4922	4692
512	4933	4683
513	4942	4673
514	4953	4664
515	4962	4655
516	4972	4645
517	4983	4636
518	4992	4627
519	5003	4618
520	5012	4608
521	5022	4599
522	5032	4590
523	5043	4581
524	5052	4571
525	5062	4562
526	5072	4552
527	5082	4543
528	5092	4534
529	5101	4524
530	5112	4515
531	5122	4505
532	5132	4496
533	5142	4487
534	5152	4478
535	5162	4468
536	5172	4460
537	5182	4450
538	5193	4441
539	5202	4431
540	5213	4423
541	5223	4413
542	5232	4404
543	5243	4395
544	5253	4385
545	5263	4376
546	5273	4367
547	5283	4357
548	5293	4348
549	5305	4341
550	5316	4332
551	5326	4322
552	5336	4313
553	5345	4303
554	5355	4294
555	5365	4284
556	5375	4275
557	5385	4266
558	5395	4256
559	5405	4247
560	5415	4237
561	5425	4228
562	5436	4219
563	5446	4210
564	5456	4200
565	5465	4191
566	5476	4181
567	5485	4171
568	5495	4162
569	5505	4152
570	5515	4143
571	5525	4134
572	5535	4125
573	5545	4115
574	5555	4106
575	5565	4096
576	5574	4087
577	5586	4078
578	5595	4068
579	5606	4059
580	5617	4050
581	5627	4041
582	5638	4033
583	5648	4023
584	5660	4015
585	5670	4006
586	5682	3997
587	5694	3990
588	5704	3980
589	5716	3972
590	5727	3963
591	5737	3954
592	5748	3945
593	5758	3935
594	5769	3926
595	5779	3917
596	5789	3908
597	5799	3898
598	5809	3889
599	5819	3879
600	5830	3870
601	5840	3861
602	5849	3851
603	5859	3841
604	5870	3832
605	5880	3823
606	5891	3814
607	5901	3804
608	5911	3795
609	5921	3785
610	5931	3776
611	5941	3767
612	5952	3757
613	5962	3748
614	5971	3738
615	5982	3729
616	5991	3719
617	6002	3710
618	6012	3700
619	6022	3691
620	6031	3681
621	6042	3672
622	6052	3662
623	6063	3653
624	6072	3643
625	6083	3634
626	6092	3624
627	6104	3615
628	6116	3607
629	6128	3599
630	6141	3591
631	6153	3583
632	6166	3574
633	6178	3566
634	6190	3558
635	6202	3550
636	6215	3541
637	6226	3533
638	6238	3524
639	6250	3515
640	6259	3505
641	6271	3497
642	6283	3488
643	6295	3480
644	6306	3470
645	6315	3461
646	6325	3451
647	6334	3440
648	6344	3431
649	6353	3421
650	6363	3411
651	6372	3401
652	6381	3391
653	6391	3381
654	6400	3371
655	6410	3361
656	6419	3351
657	6429	3341
658	6438	3331
659	6447	3321
660	6456	3311
661	6467	3301
662	6476	3291
663	6485	3281
664	6495	3272
665	6505	3262
666	6515	3252
667	6524	3242
668	6534	3232
669	6543	3223
670	6553	3213
671	6563	3203
672	6572	3193
673	6582	3183
674	6592	3174
675	6601	3164
676	6611	3154
677	6620	3144
678	6629	3134
679	6639	3124
680	6649	3114
681	6658	3104
682	6667	3094
683	6677	3084
684	6686	3075
685	6696	3065
686	6705	3055
687	6715	3045
688	6725	3035
689	6737	3027
690	6749	3018
691	6761	3009
692	6772	3000
693	6785	2991
694	6797	2983
695	6807	2973
696	6819	2964
697	6833	2956
698	6846	2948
699	6858	2939
700	6871	2930
701	6884	2922
702	6896	2913
703	6909	2904
704	6919	2895
705	6931	2886
706	6944	2877
707	6955	2868
708	6966	2859
709	6975	2849
710	6984	2838
711	6993	2828
712	7003	2818
713	7012	2808
714	7021	2798
715	7030	2788
716	7039	2778
717	7050	2768
718	7059	2758
719	7068	2748
720	7077	2738
721	7087	2728
722	7097	2719
723	7107	2709
724	7117	2699
725	7126	2689
726	7136	2679
727	7145	2669
728	7154	2659
729	7164	2649
730	7173	2639
731	7182	2629
732	7192	2619
733	7201	2609
734	7210	2599
735	7219	2589
736	7228	2579
737	7237	2569
738	7246	2559
739	7255	2549
740	7264	2539
741	7273	2529
742	7283	2519
743	7293	2509
744	7302	2499
745	7311	2489
746	7320	2479
747	7330	2469
748	7339	2459
749	7348	2449
750	7358	2439
751	7367	2429
752	7376	2419
753	7385	2409
754	7394	2399
755	7403	2389
756	7413	2379
757	7422	2369
758	7431	2359
759	7440	2349
760	7449	2339
761	7458	2329
762	7467	2319
763	7476	2309
764	7485	2299
765	7495	2289
766	7504	2279
767	7513	2269
768	7523	2260
769	7532	2249
770	7543	2240
771	7554	2231
772	7565	2221
773	7574	2211
774	7584	2201
775	7592	2191
776	7601	2181
777	7611	2171
778	7619	2161
779	7628	2151
780	7638	2141
781	7646	2131
782	7655	2121
783	7664	2111
784	7673	2101
785	7682	2091
786	7691	2081
787	7700	2071
788	7710	2061
789	7718	2051
790	7729	2042
791	7738	2032
792	7749	2022
793	7760	2013
794	7771	2004
795	7782	1994
796	7793	1985
797	7804	1975
798	7814	1965
799	7827	1956
800	7839	1947
801	7850	1938
802	7861	1928
803	7872	1919
804	7883	1909
805	7893	1899
806	7902	1889
807	7911	1880
808	7920	1870
809	7929	1860
810	7938	1850
811	7948	1840
812	7957	1830
813	7967	1820
814	7977	1810
815	7987	1801
816	7996	1791
817	8006	1781
818	8015	1771
819	8024	1761
820	8033	1751
821	8043	1741
822	8053	1731
823	8062	1722
824	8071	1712
825	8080	1702
826	8090	1692
827	8099	1682
828	8108	1672
829	8119	1662
830	8127	1652
831	8136	1643
832	8146	1633
833	8154	1623
834	8163	1613
835	8173	1603
836	8181	1593
837	8191	1583
838	8200	1573
839	8209	1563
840	8217	1553
841	8226	1543
842	8235	1533
843	8244	1523
844	8253	1513
845	8262	1504
846	8270	1494
847	8279	1484
848	8288	1474
849	8298	1464
850	8306	1454
851	8316	1444
852	8327	1435
853	8337	1425
854	8348	1415
855	8360	1406
856	8370	1396
857	8382	1387
858	8393	1377
859	8404	1368
860	8415	1358
861	8425	1348
862	8436	1339
863	8447	1329
864	8458	1320
865	8469	1310
866	8480	1300
867	8491	1291
868	8502	1281
869	8513	1272
870	8525	1262
871	8537	1253
872	8547	1243
873	8565	1234
874	8574	1224
875	8583	1214
876	8592	1205
877	8601	1195
878	8610	1185
879	8619	1175
880	8628	1165
881	8637	1155
882	8646	1145
883	8655	1135
884	8664	1125
885	8673	1116
886	8682	1106
887	8691	1096
888	8701	1086
889	8710	1076
890	8719	1066
891	8729	1056
892	8739	1047
893	8749	1037
894	8758	1027
895	8768	1017
896	8778	1008
897	8787	998
898	8796	988
899	8805	978
900	8813	968
901	8823	958
902	8831	948
903	8842	938
904	8852	929
905	8861	919
906	8870	909
907	8878	899
908	8887	889
909	8897	879
910	8906	870
911	8915	860
912	8923	850
913	8933	840
914	8942	830
915	8951	820
916	8960	811
917	8969	801
918	8977	791
919	8986	781
920	8995	771
921	9004	761
922	9012	751
923	9022	742
924	9031	732
925	9039	722
926	9049	712
927	9058	702
928	9067	693
929	9079	683
930	9088	673
931	9097	663
932	9107	654
933	9117	644
934	9125	634
935	9134	624
936	9146	614
937	9154	605
938	9164	595
939	9175	585
940	9186	575
941	9195	566
942	9204	556
943	9213	546
944	9222	536
945	9231	526
946	9240	517
947	9249	507
948	9258	497
949	9267	487
950	9276	477
951	9285	468
952	9295	458
953	9305	448
954	9314	438
955	9325	429
956	9335	419
957	9345	409
958	9354	399
959	9365	390
960	9374	380
961	9384	370
962	9393	360
963	9403	351
964	9412	341
965	9421	331
966	9430	321
967	9439	312
968	9448	302
969	9457	292
970	9466	282
971	9475	272
972	9484	263
973	9492	253
974	9501	243
975	9510	233
976	9518	224
977	9527	214
978	9535	204
979	9544	194
980	9552	185
981	9563	175
982	9571	165
983	9580	155
984	9588	146
985	9597	136
986	9606	126
987	9614	116
988	9622	107
989	9631	97
990	9640	87
991	9649	77
992	9658	68
993	9667	58
994	9676	48
995	9686	38
996	9695	29
997	9705	19
998	9713	9
999	9722	0
