iter	MultiClass
0	1.006578321
1	0.940007898
2	0.8891651542
3	0.8497314137
4	0.8183782913
5	0.7924246055
6	0.7717614136
7	0.7539974785
8	0.7396439204
9	0.7270697608
10	0.7165029446
11	0.7081676205
12	0.7006764448
13	0.6947247025
14	0.6899695593
15	0.6851119896
16	0.6814196395
17	0.6780032523
18	0.6751501158
19	0.6728001911
20	0.6704822786
21	0.668344166
22	0.6665373736
23	0.6650790461
24	0.66356068
25	0.6624281686
26	0.6613394368
27	0.6602899928
28	0.659066759
29	0.6574417909
30	0.6565376039
31	0.6554743047
32	0.6545008422
33	0.6533332819
34	0.6526714008
35	0.651854583
36	0.6506135085
37	0.6500197008
38	0.6487780569
39	0.6480909962
40	0.6471402459
41	0.6464161751
42	0.6454496717
43	0.6447256641
44	0.6438002832
45	0.6430894348
46	0.6421766437
47	0.6414721218
48	0.6408030284
49	0.6397879374
50	0.6392561296
51	0.6383745916
52	0.6375343024
53	0.6365891828
54	0.6359541894
55	0.6354225714
56	0.634854829
57	0.6340888133
58	0.6334096608
59	0.6328149041
60	0.6323084024
61	0.6316193173
62	0.6310696054
63	0.6301804755
64	0.6295913495
65	0.6290413213
66	0.6284487789
67	0.627895461
68	0.6273935145
69	0.6265411416
70	0.6261180869
71	0.6254009752
72	0.6248047002
73	0.6239671314
74	0.6234079931
75	0.6227676854
76	0.6222094961
77	0.6213181519
78	0.6206881564
79	0.6201090263
80	0.6195205329
81	0.6189778435
82	0.6185953418
83	0.6179061933
84	0.6172617734
85	0.6165859107
86	0.6162825538
87	0.6154895238
88	0.6147321754
89	0.6142494615
90	0.6136107987
91	0.6130029461
92	0.6125681873
93	0.6121621509
94	0.6115578411
95	0.611045266
96	0.6105142807
97	0.6099961383
98	0.6093157205
99	0.6086583312
100	0.6082366682
101	0.6075541627
102	0.6069843325
103	0.6064480962
104	0.6058558068
105	0.6055106316
106	0.6049879341
107	0.604456063
108	0.603964492
109	0.6035476372
110	0.6031124988
111	0.6025554482
112	0.6020200343
113	0.6014874041
114	0.6010639698
115	0.6004111356
116	0.5998973584
117	0.5995283322
118	0.598925098
119	0.5981883741
120	0.5978152989
121	0.5971891626
122	0.5966837997
123	0.5959374595
124	0.5954751803
125	0.5948937093
126	0.5945212035
127	0.5939289141
